name,abbreviation
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
Northwest Territory,NW
Southwest Territory,SW
Mississippi Territory,MS
Indiana Territory,IN
Orleans Territory,LA
Michigan Territory,MI
Illinois Territory,IL
Missouri Territory,MO
Arkansas Territory,AR
Unorganized Territory,X
Florida Territory,FL
Wisconsin Territory,WI
Iowa Territory,IA
New Mexico Territory,NM
Oregon Territory,OR
Minnesota Territory,MN
Utah Territory,UT
Kansas Territory,KS
Nebraska Territory,NE
Dakota Territory,DK
Washington Territory,WA
Wyoming Territory,WY
Colorado Territory,CO
Arizona Territory,AZ
Montana Territory,MT
Indian Territory,IT
Idaho Territory,ID
Alaska Territory,AK
Oklahoma Territory,OK
Hawaii Territory,HI
